type_path,type_kind,is_generic,type_params,elicit_impl,proof_test,composition_test,has_serialize,has_deserialize,has_json_schema,has_elicitation,has_elicit_introspect,has_elicit_spec,has_elicit_prompt_tree,has_to_code_literal,can_be_direct,external_blockers,notes
accesskit::Action,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::ActionData,Enum,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::ActionRequest,Struct,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::AriaCurrent,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::AutoComplete,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::CustomAction,Struct,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::HasPopup,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::Invalid,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::ListStyle,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::Live,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::Node,Struct,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::NodeId,Struct,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::NodeIdContent,TypeAlias,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
accesskit::Orientation,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::Role,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::ScrollHint,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::ScrollUnit,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::SortDirection,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::TextAlign,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::TextDecoration,Enum,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::TextDirection,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::TextPosition,Struct,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::TextSelection,Struct,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::Toggled,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::Tree,Struct,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::TreeUpdate,Struct,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::VerticalOffset,Enum,false,,Missing,Covered,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::geometry::Affine,Struct,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::geometry::Point,Struct,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::geometry::Rect,Struct,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::geometry::Size,Struct,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
accesskit::geometry::Vec2,Struct,false,,Missing,Missing,Missing,present,present,present,absent,absent,absent,absent,absent,present,,
